User,Time,File,TrackErr,Correct,Answer,ScoreErr,Annoy,Difficulty,FreezeLen,MSE_0,MSE_1,MSE_2,MSE_3,Rot_0,Rot_1,Trans_0,Trans_1,Task,Index,Type,,,,,,,,,,464,,
2,2022-3-3-14:00:41,../QOE/FreezeTest/FreezeType_Reprojection/01B.txt,0,2,2,0,4,3,1,0.017144,0,0.019659,0.011728,0.004353,0.004353,0.001074,0.001074,1,12,Reprojection,,,,,,,,,,,,
2,2022-3-3-14:01:13,../QOE/FreezeTest/FreezeType_Normal/01B.txt,0,1,1,0,3,3,1,0.049469,0.048949,0.061369,0.048538,0.016382,0.01657,0.001372,0.00148,1,13,Normal,,,,,,,,,,,,
2,2022-3-3-14:01:44,../QOE/FreezeTest/FreezeType_Reprojection/16B.txt,0,2,1,1,4,3,16,0.044607,0,0.043727,0.056438,0.032285,0.032285,0.003221,0.003221,1,14,Reprojection,,,,,,,,,,,,
2,2022-3-3-14:02:11,../QOE/FreezeTest/FreezeType_Normal/16A.txt,0,2,2,0,3,4,16,0.041742,0.041252,0.058929,0.038715,0.027674,0.018187,0.001968,0.001313,1,15,Normal,,,,,,,,,,,,
2,2022-3-3-14:02:45,../QOE/FreezeTest/FreezeType_Reprojection/64A.txt,0,2,2,0,2,3,64,0.046947,0,0.046907,0.062033,0.03333,0.03333,0.00227,0.00227,1,16,Reprojection,,,,,,,,,,,,
3,2022-3-3-14:12:14,../QOE/FreezeTest/FreezeType_Reprojection/16A.txt,0,1,1,0,4,4,16,0.00088,0,0.002282,0.027703,0.000751,0.000751,0.000107,0.000107,1,1,Reprojection,,,,,,,,,,,,
3,2022-3-3-14:13:06,../QOE/FreezeTest/FreezeType_Normal/64A.txt,0,3,3,0,3,4,64,0.000921,0.000832,0.011455,0.000457,0.000791,0.000173,0.000356,0.000037,1,2,Normal,,,,,,,,,,,,
3,2022-3-3-14:13:48,../QOE/FreezeTest/FreezeType_Normal/32B.txt,0,2,1,1,2,4,32,0.015522,0.012418,0.107974,0.006547,0.003372,0.003418,0.000621,0.000861,1,3,Normal,,,,,,,,,,,,
3,2022-3-3-14:15:01,../QOE/FreezeTest/FreezeType_Reprojection/64A.txt,0,3,2,1,3,4,64,0.009266,0,0.010182,0.080284,0.003622,0.003622,0.000649,0.000649,1,4,Reprojection,,,,,,,,,,,,
3,2022-3-3-14:16:01,../QOE/FreezeTest/FreezeType_Normal/16A.txt,0,2,2,0,4,4,16,0.048854,0.048587,0.063644,0.037864,0.022074,0.017473,0.003007,0.003097,1,5,Normal,,,,,,,,,,,,
3,2022-3-3-14:16:30,../QOE/FreezeTest/FreezeType_Reprojection/08A.txt,0,1,1,0,5,4,8,0.022302,0,0.021517,0.023816,0.011433,0.011433,0.001181,0.001181,1,6,Reprojection,,,,,,,,,,,,
3,2022-3-3-14:17:08,../QOE/FreezeTest/FreezeType_Reprojection/01B.txt,0,2,2,0,5,4,1,0.037914,0,0.041595,0.042283,0.013881,0.013881,0.001954,0.001954,1,7,Reprojection,,,,,,,,,,,,
3,2022-3-3-14:17:32,../QOE/FreezeTest/FreezeType_Normal/08A.txt,0,1,1,0,5,5,8,0.036833,0.035611,0.03412,0.025616,0.014659,0.011164,0.002604,0.002031,1,8,Normal,,,,,,,,,,,,
3,2022-3-3-14:18:02,../QOE/FreezeTest/FreezeType_Reprojection/04A.txt,0,1,2,-1,5,4,4,0.033965,0,0.034568,0.031814,0.016972,0.016972,0.001779,0.001779,1,9,Reprojection,,,,,,,,,,,,
3,2022-3-3-14:18:25,../QOE/FreezeTest/FreezeType_Normal/02B.txt,0,0,0,0,5,4,2,0.024541,0.025851,0.031074,0.031769,0.027511,0.027062,0.004988,0.005221,1,10,Normal,,,,,,,,,,,,
3,2022-3-3-14:18:46,../QOE/FreezeTest/FreezeType_Reprojection/02B.txt,0,2,2,0,5,4,2,0.017452,0,0.01802,0.031837,0.007168,0.007168,0.000405,0.000405,1,11,Reprojection,,,,,,,,,,,,
3,2022-3-3-14:19:08,../QOE/FreezeTest/FreezeType_Normal/00A.txt,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,1,12,Normal,,,,,,,,,,,,
3,2022-3-3-14:19:29,../QOE/FreezeTest/FreezeType_Reprojection/00A.txt,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,13,Reprojection,,,,,,,,,,,,
3,2022-3-3-14:19:51,../QOE/FreezeTest/FreezeType_Normal/01B.txt,0,0,0,0,5,5,1,0.009361,0.012755,0.044355,0.038163,0.00601,0.008831,0.001531,0.001758,1,14,Normal,,,,,,,,,,,,
3,2022-3-3-14:20:12,../QOE/FreezeTest/FreezeType_Reprojection/32B.txt,0,1,1,0,5,5,32,0.039811,0,0.038015,0.056921,0.016348,0.016348,0.002016,0.002016,1,15,Reprojection,,,,,,,,,,,,
3,2022-3-3-14:20:33,../QOE/FreezeTest/FreezeType_Normal/04B.txt,0,1,1,0,5,5,4,0.038893,0.041134,0.042934,0.035116,0.019755,0.0225,0.00298,0.003367,1,16,Normal,,,,,,,,,,,,
4,2022-3-3-14:23:44,../QOE/FreezeTest/FreezeType_Normal/04B.txt,0,2,2,0,5,5,4,0.045466,0.045683,0.05095,0.049004,0.019771,0.020679,0.002561,0.002577,1,1,Normal,,,,,,,,,,,,
4,2022-3-3-14:24:03,../QOE/FreezeTest/FreezeType_Normal/01A.txt,0,0,0,0,5,5,1,0.022931,0.02286,0.02458,0.022444,0.030551,0.029049,0.00455,0.004093,1,2,Normal,,,,,,,,,,,,
4,2022-3-3-14:24:25,../QOE/FreezeTest/FreezeType_Reprojection/32B.txt,0,3,3,0,2,2,32,0.070531,0,0.074865,0.096063,0.057952,0.057952,0.006579,0.006579,1,3,Reprojection,,,,,,,,,,,,
4,2022-3-3-14:24:46,../QOE/FreezeTest/FreezeType_Normal/08B.txt,0,3,3,0,4,5,8,0.04309,0.043103,0.069031,0.049872,0.018953,0.023574,0.001269,0.002181,1,4,Normal,,,,,,,,,,,,
4,2022-3-3-14:25:05,../QOE/FreezeTest/FreezeType_Normal/64B.txt,0,0,0,0,1,3,64,0.051001,0.050613,0.077455,0.04494,0.03275,0.017142,0.003522,0.003817,1,5,Normal,,,,,,,,,,,,
4,2022-3-3-14:25:24,../QOE/FreezeTest/FreezeType_Reprojection/04A.txt,0,1,1,0,5,5,4,0.051751,0,0.052173,0.058493,0.040624,0.040624,0.00379,0.00379,1,6,Reprojection,,,,,,,,,,,,
4,2022-3-3-14:25:43,../QOE/FreezeTest/FreezeType_Normal/32B.txt,0,0,0,0,1,5,32,0.06201,0.064668,0.070735,0.049314,0.065722,0.016802,0.006507,0.002394,1,7,Normal,,,,,,,,,,,,
4,2022-3-3-14:26:03,../QOE/FreezeTest/FreezeType_Normal/00A.txt,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,1,8,Normal,,,,,,,,,,,,
4,2022-3-3-14:26:23,../QOE/FreezeTest/FreezeType_Normal/16B.txt,0,3,3,0,2,4,16,0.037988,0.039174,0.070975,0.059987,0.025163,0.033728,0.002366,0.002551,1,9,Normal,,,,,,,,,,,,
4,2022-3-3-14:26:44,../QOE/FreezeTest/FreezeType_Reprojection/01B.txt,0,1,1,0,5,2,1,0.043714,0,0.043458,0.043755,0.021686,0.021686,0.00061,0.00061,1,10,Reprojection,,,,,,,,,,,,
4,2022-3-3-14:27:03,../QOE/FreezeTest/FreezeType_Normal/02B.txt,0,3,3,0,5,4,2,0.021421,0.022067,0.027202,0.024988,0.030387,0.02541,0.002335,0.002235,1,11,Normal,,,,,,,,,,,,
4,2022-3-3-14:27:23,../QOE/FreezeTest/FreezeType_Reprojection/64A.txt,0,1,1,0,2,3,64,0.059579,0,0.053979,0.086884,0.020153,0.020153,0.002313,0.002313,1,12,Reprojection,,,,,,,,,,,,
4,2022-3-3-14:27:42,../QOE/FreezeTest/FreezeType_Reprojection/08A.txt,0,2,2,0,5,3,8,0.029411,0,0.021514,0.02468,0.037821,0.037821,0.002304,0.002304,1,13,Reprojection,,,,,,,,,,,,
4,2022-3-3-14:28:00,../QOE/FreezeTest/FreezeType_Reprojection/16B.txt,0,0,0,0,4,4,16,0.040337,0,0.043554,0.049497,0.019451,0.019451,0.00326,0.00326,1,14,Reprojection,,,,,,,,,,,,
4,2022-3-3-14:28:29,../QOE/FreezeTest/FreezeType_Reprojection/02A.txt,0,1,0,1,5,3,2,0.040202,0,0.038503,0.028815,0.02267,0.02267,0.002489,0.002489,1,15,Reprojection,,,,,,,,,,,,
4,2022-3-3-14:28:48,../QOE/FreezeTest/FreezeType_Reprojection/00A.txt,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,1,16,Reprojection,,,,,,,,,,,,
5,2022-3-3-15:27:21,../QOE/FreezeTest/FreezeType_Reprojection/16A.txt,0,1,5,-4,5,4,16,0.052725,0,0.0544,0.087073,0.018033,0.018033,0.003712,0.003712,1,1,Reprojection,,,,,,,,,,,,
5,2022-3-3-15:27:50,../QOE/FreezeTest/FreezeType_Reprojection/64A.txt,0,0,1,-1,5,5,64,0.036156,0,0.035457,0.049502,0.01502,0.01502,0.003343,0.003343,1,2,Reprojection,,,,,,,,,,,,
5,2022-3-3-15:28:16,../QOE/FreezeTest/FreezeType_Reprojection/02A.txt,0,0,0,0,5,5,2,0.044046,0,0.041063,0.051149,0.014925,0.014925,0.001984,0.001984,1,3,Reprojection,,,,,,,,,,,,
5,2022-3-3-15:28:48,../QOE/FreezeTest/FreezeType_Normal/02B.txt,0,2,2,0,5,5,2,0.024952,0.024035,0.028942,0.027019,0.011851,0.012504,0.001779,0.001854,1,4,Normal,,,,,,,,,,,,
5,2022-3-3-15:29:15,../QOE/FreezeTest/FreezeType_Reprojection/00A.txt,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,1,5,Reprojection,,,,,,,,,,,,
5,2022-3-3-15:29:44,../QOE/FreezeTest/FreezeType_Reprojection/01B.txt,0,0,0,0,5,5,1,0.028367,0,0.028459,0.028789,0.029065,0.029065,0.002619,0.002619,1,6,Reprojection,,,,,,,,,,,,
5,2022-3-3-15:30:10,../QOE/FreezeTest/FreezeType_Normal/08B.txt,0,1,1,0,4,5,8,0.008869,0.010165,0.102125,0.043233,0.005712,0.013904,0.001357,0.000431,1,7,Normal,,,,,,,,,,,,
5,2022-3-3-15:30:42,../QOE/FreezeTest/FreezeType_Normal/00A.txt,0,1,6,-5,4,5,0,0,0,0,0,0,0,0,0,1,8,Normal,,,,,,,,,,,,
5,2022-3-3-15:31:07,../QOE/FreezeTest/FreezeType_Reprojection/04A.txt,0,1,1,0,4,5,4,0.011571,0,0.010961,0.039749,0.003527,0.003527,0.000275,0.000275,1,9,Reprojection,,,,,,,,,,,,
5,2022-3-3-15:31:32,../QOE/FreezeTest/FreezeType_Normal/01B.txt,0,2,1,1,5,5,1,0.027718,0.025948,0.033368,0.023629,0.00879,0.008782,0.001172,0.001102,1,10,Normal,,,,,,,,,,,,
5,2022-3-3-15:32:02,../QOE/FreezeTest/FreezeType_Normal/04B.txt,0,1,1,0,5,5,4,0.046704,0.04835,0.073088,0.067015,0.022494,0.026742,0.002623,0.003824,1,11,Normal,,,,,,,,,,,,
5,2022-3-3-15:32:29,../QOE/FreezeTest/FreezeType_Normal/16B.txt,0,1,1,0,5,5,16,0.022013,0.02027,0.054293,0.039337,0.006442,0.013027,0.001722,0.002344,1,12,Normal,,,,,,,,,,,,
5,2022-3-3-15:32:55,../QOE/FreezeTest/FreezeType_Normal/32A.txt,0,1,1,0,5,5,32,0.034905,0.035123,0.028892,0.033032,0.024105,0.018527,0.001525,0.000978,1,13,Normal,,,,,,,,,,,,
5,2022-3-3-15:33:21,../QOE/FreezeTest/FreezeType_Normal/64B.txt,0,1,1,0,5,4,64,0.050663,0.050337,0.053055,0.039083,0.036946,0.019412,0.001519,0.003744,1,14,Normal,,,,,,,,,,,,
5,2022-3-3-15:33:48,../QOE/FreezeTest/FreezeType_Reprojection/32A.txt,0,0,0,0,4,5,32,0.023914,0,0.025837,0.063735,0.00967,0.00967,0.001141,0.001141,1,15,Reprojection,,,,,,,,,,,,
5,2022-3-3-15:34:14,../QOE/FreezeTest/FreezeType_Reprojection/08B.txt,0,1,1,0,5,5,8,0.022707,0,0.026776,0.065732,0.008833,0.008833,0.002282,0.002282,1,16,Reprojection,,,,,,,,,,,,
6,2022-3-3-14:4:38,../QOE/FreezeTest/FreezeType_Normal/02A.txt,0,2,1,1,5,5,2,0.003133,0.002869,0.007814,0.002739,0.001545,0.001515,0.000602,0.000577,1,1,Normal,,,,,,,,,,,,
6,2022-3-3-14:5:24,../QOE/FreezeTest/FreezeType_Normal/32A.txt,0,0,0,0,5,5,32,0.04552,0.045846,0.035852,0.014291,0.020376,0.004633,0.001212,0.001103,1,2,Normal,,,,,,,,,,,,
6,2022-3-3-14:5:50,../QOE/FreezeTest/FreezeType_Normal/00A.txt,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,1,3,Normal,,,,,,,,,,,,
6,2022-3-3-14:6:27,../QOE/FreezeTest/FreezeType_Reprojection/32A.txt,0,0,0,0,5,5,32,0.014611,0,0.017805,0.077907,0.009138,0.009138,0.00057,0.00057,1,4,Reprojection,,,,,,,,,,,,
6,2022-3-3-14:6:53,../QOE/FreezeTest/FreezeType_Normal/08A.txt,0,0,0,0,5,5,8,0.047192,0.046988,0.040307,0.039714,0.023267,0.011423,0.001522,0.001464,1,5,Normal,,,,,,,,,,,,
6,2022-3-3-14:7:17,../QOE/FreezeTest/FreezeType_Reprojection/04B.txt,0,2,2,0,5,5,4,0.034775,0,0.039133,0.053098,0.034569,0.034569,0.003981,0.003981,1,6,Reprojection,,,,,,,,,,,,
6,2022-3-3-14:8:41,../QOE/FreezeTest/FreezeType_Normal/64A.txt,0,1,1,0,2,2,64,0.064703,0.06537,0.092514,0.008577,0.045728,0.00274,0.003902,0.000489,1,7,Normal,,,,,,,,,,,,
6,2022-3-3-14:9:11,../QOE/FreezeTest/FreezeType_Reprojection/02A.txt,0,0,0,0,5,5,2,0.004775,0,0.005091,0.017571,0.001903,0.001903,0.000493,0.000493,1,8,Reprojection,,,,,,,,,,,,
6,2022-3-3-14:9:44,../QOE/FreezeTest/FreezeType_Normal/01B.txt,0,1,2,-1,5,5,1,0.057571,0.059455,0.09583,0.058839,0.018487,0.018641,0.001998,0.001983,1,9,Normal,,,,,,,,,,,,
6,2022-3-3-14:11:12,../QOE/FreezeTest/FreezeType_Reprojection/01B.txt,0,1,0,1,5,5,1,0.044388,0,0.038617,0.034353,0.016164,0.016164,0.002144,0.002144,1,10,Reprojection,,,,,,,,,,,,
6,2022-3-3-14:11:39,../QOE/FreezeTest/FreezeType_Normal/16B.txt,0,2,2,0,3,5,16,0.057093,0.057518,0.067412,0.043496,0.030596,0.013475,0.001768,0.001175,1,11,Normal,,,,,,,,,,,,
6,2022-3-3-14:12:1,../QOE/FreezeTest/FreezeType_Reprojection/00A.txt,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,12,Reprojection,,,,,,,,,,,,
6,2022-3-3-14:12:22,../QOE/FreezeTest/FreezeType_Reprojection/08B.txt,0,0,0,0,5,5,8,0.01178,0,0.011419,0.028747,0.003988,0.003988,0.000482,0.000482,1,13,Reprojection,,,,,,,,,,,,
6,2022-3-3-14:12:55,../QOE/FreezeTest/FreezeType_Reprojection/64B.txt,0,1,1,0,3,5,64,0.005323,0,0.019833,0.057562,0.003253,0.003253,0.000359,0.000359,1,14,Reprojection,,,,,,,,,,,,
6,2022-3-3-14:13:22,../QOE/FreezeTest/FreezeType_Normal/04B.txt,0,1,1,0,5,5,4,0.047347,0.045374,0.045991,0.038537,0.01881,0.017464,0.00151,0.001745,1,15,Normal,,,,,,,,,,,,
6,2022-3-3-14:13:47,../QOE/FreezeTest/FreezeType_Reprojection/16B.txt,0,2,2,0,5,5,16,0.042061,0,0.034807,0.084127,0.012717,0.012717,0.002399,0.002399,1,16,Reprojection,,,,,,,,,,,,
7,2022-3-4-8:50:40,../QOE/FreezeTest/FreezeType_Normal/02A.txt,0,2,1,1,5,5,2,0.022015,0.032451,0.047469,0.054892,0.012086,0.018002,0.001404,0.002024,1,1,Normal,,,,,,,,,,,,
7,2022-3-4-8:51:12,../QOE/FreezeTest/FreezeType_Normal/04A.txt,0,1,1,0,5,4,4,0.024795,0.02391,0.023962,0.023362,0.010311,0.010436,0.001163,0.001188,1,2,Normal,,,,,,,,,,,,
7,2022-3-4-8:51:47,../QOE/FreezeTest/FreezeType_Normal/16B.txt,0,4,3,1,5,4,16,0.044342,0.041726,0.043507,0.027131,0.030812,0.014888,0.00281,0.001966,1,3,Normal,,,,,,,,,,,,
7,2022-3-4-8:52:17,../QOE/FreezeTest/FreezeType_Normal/32B.txt,0,1,1,0,4,4,32,0.027601,0.029358,0.028755,0.035805,0.018506,0.025267,0.001154,0.000355,1,4,Normal,,,,,,,,,,,,
7,2022-3-4-8:52:42,../QOE/FreezeTest/FreezeType_Normal/64A.txt,0,3,2,1,3,3,64,0.073982,0.077493,0.09624,0.02977,0.040355,0.009237,0.004453,0.000235,1,5,Normal,,,,,,,,,,,,
7,2022-3-4-8:53:22,../QOE/FreezeTest/FreezeType_Reprojection/32A.txt,0,3,3,0,4,3,32,0.031358,0,0.028574,0.028855,0.030959,0.030959,0.002125,0.002125,1,6,Reprojection,,,,,,,,,,,,
7,2022-3-4-8:53:53,../QOE/FreezeTest/FreezeType_Normal/08A.txt,0,1,1,0,5,3,8,0.027992,0.027429,0.027641,0.033786,0.015034,0.025066,0.00318,0.000807,1,7,Normal,,,,,,,,,,,,
7,2022-3-4-8:54:18,../QOE/FreezeTest/FreezeType_Reprojection/64A.txt,0,1,1,0,3,3,64,0.056039,0,0.057086,0.104901,0.02175,0.02175,0.003399,0.003399,1,8,Reprojection,,,,,,,,,,,,
7,2022-3-4-8:54:46,../QOE/FreezeTest/FreezeType_Reprojection/08A.txt,0,1,1,0,5,3,8,0.032305,0,0.030558,0.027698,0.029948,0.029948,0.001453,0.001453,1,9,Reprojection,,,,,,,,,,,,
7,2022-3-4-8:55:14,../QOE/FreezeTest/FreezeType_Reprojection/04B.txt,0,2,2,0,5,4,4,0.050102,0,0.050725,0.102571,0.016647,0.016647,0.001729,0.001729,1,10,Reprojection,,,,,,,,,,,,
7,2022-3-4-8:55:42,../QOE/FreezeTest/FreezeType_Reprojection/01A.txt,0,1,1,0,5,4,1,0.050006,0,0.054139,0.056015,0.025671,0.025671,0.002607,0.002607,1,11,Reprojection,,,,,,,,,,,,
7,2022-3-4-8:56:3,../QOE/FreezeTest/FreezeType_Reprojection/16B.txt,0,1,1,0,5,4,16,0.039502,0,0.038625,0.026602,0.024448,0.024448,0.000905,0.000905,1,12,Reprojection,,,,,,,,,,,,
7,2022-3-4-8:56:37,../QOE/FreezeTest/FreezeType_Reprojection/00A.txt,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,1,13,Reprojection,,,,,,,,,,,,
7,2022-3-4-8:56:58,../QOE/FreezeTest/FreezeType_Normal/00A.txt,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,1,14,Normal,,,,,,,,,,,,
7,2022-3-4-8:57:18,../QOE/FreezeTest/FreezeType_Reprojection/02A.txt,0,2,2,0,5,4,2,0.09548,0,0.098057,0.113348,0.055738,0.055738,0.005568,0.005568,1,15,Reprojection,,,,,,,,,,,,
7,2022-3-4-8:57:37,../QOE/FreezeTest/FreezeType_Normal/01A.txt,0,1,1,0,5,4,1,0.040001,0.040308,0.050213,0.041969,0.022265,0.022529,0.003142,0.003138,1,16,Normal,,,,,,,,,,,,
8,2022-3-4-9:7:10,../QOE/FreezeTest/FreezeType_Normal/02A.txt,0,1,1,0,5,4,2,0.012241,0.011319,0.028064,0.008053,0.003474,0.003193,0.000975,0.001256,1,1,Normal,,,,,,,,,,,,
8,2022-3-4-9:7:37,../QOE/FreezeTest/FreezeType_Reprojection/16A.txt,0,0,0,0,5,5,16,0.020429,0,0.02057,0.07276,0.006108,0.006108,0.000494,0.000494,1,2,Reprojection,,,,,,,,,,,,
8,2022-3-4-9:8:3,../QOE/FreezeTest/FreezeType_Reprojection/04A.txt,0,3,2,1,5,4,4,0.04516,0,0.045129,0.048605,0.03803,0.03803,0.002666,0.002666,1,3,Reprojection,,,,,,,,,,,,
8,2022-3-4-9:8:31,../QOE/FreezeTest/FreezeType_Normal/32B.txt,0,2,2,0,3,4,32,0.047846,0.045934,0.093977,0.056056,0.039263,0.034671,0.006018,0.005245,1,4,Normal,,,,,,,,,,,,
8,2022-3-4-9:8:57,../QOE/FreezeTest/FreezeType_Normal/16B.txt,0,2,2,0,3,3,16,0.056431,0.057783,0.110901,0.058622,0.02277,0.03032,0.002051,0.003365,1,5,Normal,,,,,,,,,,,,
8,2022-3-4-9:9:20,../QOE/FreezeTest/FreezeType_Normal/04A.txt,0,1,1,0,4,3,4,0.022003,0.023249,0.030739,0.026731,0.02325,0.0165,0.001965,0.001911,1,6,Normal,,,,,,,,,,,,
8,2022-3-4-9:9:43,../QOE/FreezeTest/FreezeType_Normal/01B.txt,0,4,4,0,5,3,1,0.068445,0.066318,0.082187,0.062842,0.027081,0.026361,0.002643,0.002682,1,7,Normal,,,,,,,,,,,,
